issue_id,priority,status,category,file_path,line_function_if_available,evidence,why_it_matters,impact,recommended_fix,tests_needed,acceptance_criteria,blocked_by,notes
P0-EXPORT-001,P0,fixed,tenant_isolation_exports_access_control,backend/app/routers/exports.py,"export_csv/export_json/export_excel/batch_export lines 217-430","Export routes previously fetched jobs directly from jobs_store without owner/org/project checks; Prompt 3 adds principal-scoped checks before streaming.","Exports return extracted customer data and must be tenant scoped.","Cross-tenant CSV/JSON/XLSX/batch data exposure.","Fixed: exports use require_principal and can_access_scoped_resource before building responses.","Cross-org persistent WRITE key denied for CSV JSON Excel and batch; owner success for single-job exports; denied export not charged.","Unauthorized exports return 403/404 and do not return data.",None,"Fixed in Prompt 3."
P0-WORKFLOW-001,P0,fixed,tenant_isolation_saved_workflows,backend/app/routers/workflow.py,"_workflows/create/list/get/update/delete/run/preview lines 27-207","Workflow routes previously used a global store with blank owner fields and role-only checks; Prompt 3 stamps and checks user/org/project.","Workflow definitions contain URLs, search params, schemas, and browser steps.","Cross-tenant workflow disclosure/mutation/deletion/execution.","Fixed: workflow create stamps AuthContext and all routes filter/check scoped access.","Cross-org list/get/update/delete/run/preview denial; owner success; explicit admin/operator policy.","Workflow data cannot cross tenant boundaries.",None,"Fixed in Prompt 3."
P0-AUTHPROFILE-001,P0,fixed,tenant_isolation_auth_profiles,backend/app/routers/auth_profiles.py,"_auth_profiles/create/list/get/delete lines 23-95","Auth profile routes previously used a global store with blank owner fields and role-only checks; Prompt 3 stamps/checks scope and strips encrypted state from responses.","Auth profiles represent browser-session metadata and future encrypted session state.","Cross-tenant auth profile enumeration/deletion and future session-state risk.","Fixed route isolation; P1 model consolidation remains separate.","Cross-org list/get/delete denial; owner success; storage state omitted.","Auth profile routes cannot expose or mutate another tenant profile.",P1-AUTHPROFILE-002,"Fixed in Prompt 3 for route-level P0; model contract remains P1."
P0-SCHEDULE-001,P0,fixed,tenant_isolation_scheduled_monitoring,backend/app/routers/scheduled_monitoring.py,"_scheduled_jobs/create/list/get/update/delete/changes lines 22-133","Scheduled routes previously used a global store with role-only checks; Prompt 3 stamps/checks user/org/project.","Schedules reveal recurring targets and future change state.","Cross-tenant schedule disclosure/mutation/deletion/change reads.","Fixed: scheduled routes persist owner/org/project and enforce scoped access.","Cross-org list/get/update/delete/changes denial; owner success.","Scheduled jobs are tenant-scoped.",None,"Fixed in Prompt 3."
P0-SAAS-ROUTE-001,P0,fixed,authorization_route_matrix,backend/tests/test_route_auth_matrix_generator.py,test_route_auth_matrix_has_no_user_level_mutations,"Route-auth invariant previously failed for POST /api/saas/orgs, POST /api/saas/projects, and POST /api/saas/signup; Prompt 3 makes signup explicit public and org/project creation operator-or-admin.","SaaS identity mutations need explicit auth policy.","Possible unauthorized or ambiguous SaaS state mutation policy.","Fixed route dependencies/matrix classification and added focused allow/deny tests.","Route matrix plus focused allow/deny tests for signup/org/project routes.","No SaaS mutation route is user-level by accident.",None,"Fixed in Prompt 3."
P1-CI-001,P1,verified,validation_test_reproducibility,backend/tests,full_suite,"Prompt 4 full validation python3 scripts/validate_local.py --full exits 1. Backend log artifacts/validation/runs/20260612T162028Z_full/commands/12_backend_full_tests.md shows three failures: two AuthProfile model contract failures and pyflakes gate.","Cannot claim green backend baseline while full suite is red.","Weak release/CI confidence.","Fix remaining non-P0 failures with focused changes and record output.","Full backend pytest.","Command exits 0 with output recorded.",None,"P0 route matrix, workflow update, scheduled update, export, billing, quota, and tenant tests pass."
P1-AUTHPROFILE-002,P1,verified,model_contract_auth_profiles,"backend/app/models.py; backend/tests/test_auth_profiles.py","duplicate AuthProfile around models.py:566; test_create_profile; test_storage_state_not_exposed","Prompt 4 full validation logs show duplicate AuthProfile remains; full backend tests fail two AuthProfile tests; pyflakes and mypy report the duplicate model.","Auth profile security depends on clear schema boundaries.","Broken tests and unclear session metadata contract.","Consolidate AuthProfile schema and define public/private responses.","Auth profile CRUD, storage-state non-exposure, usage_count behavior if retained.","Auth profile tests and duplicate-name static checks pass.",None,"Separate from tenant isolation issue."
P1-TESTCLIENT-001,P1,fixed,test_tooling,backend/tests/conftest.py,"LocalASGIClient lines 445-478","Workflow and scheduled-monitoring update tests previously failed because LocalASGIClient had no put method.","PUT/PATCH route tests could not reach application code.","Update route coverage was blocked by harness gap.","Fixed: added put/patch helpers delegating to request.","Existing workflow and scheduled update tests pass.","No AttributeError for common verbs.",None,"Fixed in Prompt 3 as supporting test tooling for P0 scheduled/workflow coverage."
P1-TESTNET-001,P1,not_reproducible,test_reliability_external_network,backend/app/utils/telegram_notifier.py,"network send path around line 145 in Phase 0 validation output","Phase 0 full pytest output included SSL error to api.telegram.org; Prompt 4 full validation log has no telegram/api.telegram/SSL matches.","Unit tests should not depend on third-party network.","Potential flaky CI and accidental outbound calls if it returns.","Keep notification sends mocked/disabled in default tests; real delivery opt-in only.","Notification unit tests without network; opt-in integration tests.","Full pytest performs no unexpected external HTTP calls.",None,"Not counted as open verified in current Prompt 4 evidence."
P2-LINT-001,P2,verified,code_quality,"backend; scripts",ruff_pyflakes_gates,"Prompt 4 full validation ruff_check fails; pyflakes fails with seven warnings/errors. Logs are under artifacts/validation/runs/20260612T162028Z_full/commands/.","Static gates should be trustworthy.","Lower signal from quality checks.","Apply focused safe fixes.","Ruff and pyflakes commands.","Both exit 0.",P1-AUTHPROFILE-002,"Avoid broad refactors."
